"","timestamp_start","comment","label","collar_height","observation","volume_total","co2_dry_initial_value","fco2_dry","fco2_dry_lin","pa_mean","ta_mean","ch4_dry_initial_value","ch4_dry_deadband","ch4_dry_stop_time","co2_dry_deadband","co2_dry_stop_time","n2o_deadband","n2o_stop_time","n2o_initial_value","fch4_dry_lin","fch4_dry_lin_se","fch4_dry_lin_d_cdt","fco2_dry_lin_se","fco2_dry_lin_d_cdt","fn2o_lin","fn2o_lin_d_cdt","fn2o_lin_se","ts_1_mean","swc_2_mean","latitude","longitude","site","manure","topo1","rep","corn","fch4_dry_lin_r2","fco2_dry_lin_r2","fn2o_lin_r2","DateTime","Date"
"1","20230708093931.000000","VB1-2C-I","VB_1",3.12,"120.000000","5363.050000","481.940000","16.879400",12.96025,"100.810000","25.923210","2162.863000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","363.583810",-0.06389,"0.000490","-0.009590","0.011300","1.946110",11.44532,"1.717480","0.005670","23.418110","0.359330","44.016250","-73.328200","VB","BAU","high","C","I",NA,NA,NA,2023-07-08 09:39:31,2023-07-08
"2","20230708094422.000000","VB1-2C-O","VB_2",4.69,"120.000000","5859.930000","471.030000","11.132350",9.58734,"100.810000","25.774910","2157.362000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","356.328380",-0.05671,"0.000470","-0.007780","0.006060","1.314630",8.98117,"1.230650","0.002590","24.372840","0.294240","44.016260","-73.328210","VB","BAU","high","C","O",NA,NA,NA,2023-07-08 09:44:22,2023-07-08
"3","20230708100931.000000","VB1-1B-O","VB_3",2.75,"120.000000","5243.800000","448.970000","16.840650",13.02792,"100.800000","28.049290","2179.350000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","355.004850",0.00806,"0.000510","0.001250","0.013700","2.013300",3.53671,"0.546240","0.001510","23.401920","0.206330","44.015530","-73.327500","VB","BAU","low","B","O",NA,NA,NA,2023-07-08 10:09:31,2023-07-08
"4","20230708101444.000000","VB1-1B-I","VB_4",4.12,"120.000000","5681.050000","448.750000","13.171450",9.90624,"100.790000","27.054510","2125.074000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","358.803110",-0.01778,"0.000600","-0.002530","0.011580","1.409240",10.18225,"1.447530","0.007570","23.077070","0.342770","44.015520","-73.327510","VB","BAU","low","B","I",NA,NA,NA,2023-07-08 10:14:44,2023-07-08
"5","20230708102334.000000","VB1-1A-I","VB_5",3.25,"120.000000","5402.800000","430.250000","10.535970",9.12063,"100.770000","27.381940","2133.971000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","361.976680",0.11152,"0.000540","0.016740","0.005890","1.369510",6.11793,"0.918200","0.002670","24.295960","0.423860","44.015110","-73.328080","VB","BAU","low","A","I",NA,NA,NA,2023-07-08 10:23:34,2023-07-08
"6","20230708102835.000000","VB1-1A-O","VB_6",2.75,"120.000000","5243.800000","426.280000","9.245610",7.00986,"100.770000","28.731420","2160.361000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","361.471130",-0.00967,"0.000550","-0.001510","0.008540","1.092680",4.41977,"0.688500","0.002580","23.587680","0.425370","44.015120","-73.328060","VB","BAU","low","A","O",NA,NA,NA,2023-07-08 10:28:35,2023-07-08
"7","20230708105115.000000","VB1-2A-I","VB_7",3.75,"120.000000","5561.800000","441.560000","11.947940",9.66779,"100.780000","28.931860","2103.598000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","349.111010",-0.04139,"0.000520","-0.006040","0.011650","1.411380",7.70889,"1.124680","0.002050","24.723520","0.290800","44.013590","-73.327280","VB","BAU","high","A","I",NA,NA,NA,2023-07-08 10:51:15,2023-07-08
"8","20230708105548.000000","VB1-2A-O","VB_9",3.81,"120.000000","5580.880000","429.130000","17.655680",13.91558,"100.770000","28.709750","2129.532000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","356.162800",-0.17691,"0.000520","-0.025780","0.016570","2.028190",11.23578,"1.636430","0.007570","25.451060","0.289570","44.013590","-73.327290","VB","BAU","high","A","O",NA,NA,NA,2023-07-08 10:55:48,2023-07-08
"9","20230708110653.000000","VB1-2B-I","VB_10",3.5,"120.000000","5482.300000","409.570000","21.459890",16.13281,"100.750000","31.100150","2094.612000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","361.641020",0.1641,"0.001270","0.024580","0.021310","2.416410",14.64808,"2.192880","0.006120","25.709430","0.341030","44.013720","-73.327870","VB","BAU","high","B","I",NA,NA,NA,2023-07-08 11:06:53,2023-07-08
"10","20230708111127.000000","VB1-2B-O","VB_11",3.5,"120.000000","5482.300000","391.290000","21.345050",13.20067,"100.760000","31.538040","2088.863000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","362.548110",0.249,"0.002060","0.037530","0.028060","1.989430",7.6405,"1.150590","0.003980","27.312120","0.278600","44.013730","-73.327880","VB","BAU","high","B","O",NA,NA,NA,2023-07-08 11:11:27,2023-07-08
"11","20230708120409.000000","VB3-1B-O","VB_12",2.5,"120.000000","5164.300000","419.660000","22.297080",10.04508,"100.760000","33.841600","2074.280000","20.000000","120.000000","20.000000","120.000000","46.000000","120.000000","422.161490",0.1071,"0.000850","0.017240","0.031050","1.616480",33.79651,"5.437640","0.046300","25.472290","0.289850","44.017270","-73.323660","VB","DAF","low","B","O",NA,NA,NA,2023-07-08 12:04:09,2023-07-08
"12","20230708121308.000000","VB3-1A-I","VB_13",0.86,"120.000000","4642.780000","421.350000","19.083850",9.74963,"100.760000","33.215040","2064.703000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","361.662810",0.39215,"0.001910","0.069780","0.044360","1.734770",15.03466,"2.674110","0.005360","25.548620","0.438000","44.017230","-73.324220","VB","DAF","low","A","I",NA,NA,NA,2023-07-08 12:13:08,2023-07-08
"13","20230708121640.000000","VB3-1A-O","VB_14",2.5,"120.000000","5164.300000","409.220000","21.534860",10.31489,"100.750000","34.060110","2050.685000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","356.528710",0.17617,"0.003870","0.028210","0.042480","1.651680",10.44719,"1.671790","0.003150","25.467880","0.444180","44.017220","-73.324200","VB","DAF","low","A","O",NA,NA,NA,2023-07-08 12:16:40,2023-07-08
"14","20230708122822.000000","VB3-1C-O","VB_16",3,"120.000000","5323.300000","382.800000","22.699000",15.38669,"100.740000","33.649140","2039.152000","20.000000","120.000000","20.000000","120.000000","20.000000","120.000000","377.006570",-0.36716,"0.004270","-0.057190","0.027310","2.396810",31.83784,"4.956470","0.016050","24.600640","0.341550","44.015710","-73.323920","VB","DAF","low","C","O",NA,NA,NA,2023-07-08 12:28:22,2023-07-08
